STATE,POSTCODE,SUBURB,ELECTORATE,NAME,EMAIL,,,,,,,,,,,,,,
WA,6375,ADAMSVALE,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6330,ALBANY,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6306,ALDERSYDE,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6225,ALLANSON,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6338,AMELUP,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6419,ARDATH,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6315,ARTHUR RIVER,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6412,BAANDEE,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6428,BABAKIN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6317,BADGEBUP,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6475,BADGERIN ROCK,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6383,BADJALING,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6258,BALBARRUP,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6383,BALKULING,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6443,BALLADONIA,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6315,BALLAYING,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6304,BALLY BALLY,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6450,BANDY CREEK,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6440,BANDYA,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6390,BANNISTER,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6479,BARBALIN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6275,BARRABUP,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6330,BAYONET HEAD,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6472,BEACON,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6440,BEADELL,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6394,BEAUFORT RIVER,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6450,BEAUMONT,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6260,BEEDELUP,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6353,BEENONG,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6477,BENCUBBIN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6463,BENJABERRING,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6255,BENJINUP,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6304,BEVERLEY,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6260,BIDDELIA,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6330,BIG GROVE,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6375,BILBARIN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6472,BIMBIJY,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6430,BINDULI,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6320,BOBALONG,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6424,BODALLIN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6390,BODDINGTON,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6394,BOILUP,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6392,BOKAL,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6479,BONNIE ROCK,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6423,BOODAROCKIN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6429,BOORABBIN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6475,BOORALAMING,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6262,BOORARA BROOK,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6338,BORDEN,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6320,BORDERDALE,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6330,BORNHOLM,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
WA,6394,BOSCABEL,O'Connor,Mr Rick Wilson MP,rick.wilson.mp@aph.gov.au,,,,,,,,,,,,,,
